LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1679956656.084474,172588,25083,1,HR,1,100,52
1679956657.124474,173628,25249,1,HR,1,100,53
1679956659.217475,175721,25606,1,HR,1,100,50
1679956660.137475,176641,25756,1,HR,1,100,52
1679956661.057475,177561,25910,1,HR,1,100,53
1679956661.830476,178334,26046,1,HR,1,100,56
1679956663.110476,179614,26246,1,HR,1,100,55
1679956664.350476,180854,26451,1,HR,1,100,54
1679956665.963477,182467,26718,1,HR,1,100,52
1679956666.803477,183307,26868,1,HR,1,100,55
1679956667.936477,184440,27054,1,HR,1,100,55
1679956669.736478,186240,27345,1,HR,1,100,52
1679956670.589478,187093,27480,1,HR,1,100,54
1679956671.749479,188253,27664,1,HR,1,100,54
1679956673.763479,190267,27996,1,HR,1,100,51
1679956675.082480,191586,28222,1,HR,1,100,51
1679956677.455481,193959,28619,1,HR,1,100,48
1679956678.495481,194999,28787,1,HR,1,100,49
1679956679.429481,195933,28927,1,HR,1,100,51
1679956681.069482,197573,29196,1,HR,1,100,49
1679956682.162482,198666,29378,1,HR,1,100,50
1679956683.241482,199745,29564,1,HR,1,100,50
1679956684.121483,200625,29699,1,HR,1,100,53
1679956687.135484,203639,30201,1,HR,1,100,49
1679956689.188484,205692,30537,1,HR,1,100,46
1679956690.028485,206532,30691,1,HR,1,100,49
1679956691.041485,207545,30859,1,HR,1,100,51
1679956693.001486,209505,31176,1,HR,1,100,48
1679956694.934486,211438,31497,1,HR,1,100,46
1679956696.907487,213411,31815,1,HR,1,100,44
1679956699.080487,215584,32178,1,HR,1,100,42
1679956700.920488,217424,32484,1,HR,1,100,41
1679956702.813489,219317,32784,1,HR,1,100,40
1679956704.786489,221290,33105,1,HR,1,100,39
1679956706.746490,223250,33420,1,HR,1,100,38
1679956708.799491,225303,33769,1,HR,1,100,37
1679956710.612491,227116,34057,1,HR,1,100,37
1679956711.492491,227996,34207,1,HR,1,100,40
1679956712.452492,228956,34357,1,HR,1,100,43
1679956713.785492,230289,34575,1,HR,1,100,43
1679956715.505493,232009,34851,1,HR,1,100,42
1679956716.358493,232862,34986,1,HR,1,100,46
