LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1679956655.504473,172008.000,24988,1,TH,1,100,30.429
1679956655.638474,172142.000,25007,1,TH,1,100,30.436
1679956655.771474,172275.000,25039,1,TH,1,100,30.436
1679956655.904474,172408.000,25055,1,TH,1,100,30.418
1679956656.038474,172542.000,25072,1,TH,1,100,30.418
1679956656.171474,172675.000,25106,1,TH,1,100,30.438
1679956656.304474,172808.000,25122,1,TH,1,100,30.438
1679956656.438474,172942.000,25139,1,TH,1,100,30.491
1679956656.571474,173075.000,25173,1,TH,1,100,30.498
1679956656.704474,173208.000,25189,1,TH,1,100,30.515
1679956656.837474,173341.000,25207,1,TH,1,100,30.515
1679956656.971474,173475.000,25238,1,TH,1,100,30.582
1679956657.104474,173608.000,25257,1,TH,1,100,30.582
1679956657.237474,173741.000,25274,1,TH,1,100,30.428
1679956657.371474,173875.000,25290,1,TH,1,100,30.428
1679956657.504474,174008.000,25324,1,TH,1,100,30.483
1679956657.637474,174141.000,25341,1,TH,1,100,30.483
1679956657.771474,174275.000,25357,1,TH,1,100,30.510
1679956657.904474,174408.000,25389,1,TH,1,100,30.510
1679956658.037474,174541.000,25406,1,TH,1,100,30.460
1679956658.171474,174675.000,25423,1,TH,1,100,30.467
1679956658.304474,174808.000,25454,1,TH,1,100,30.575
1679956658.437474,174941.000,25473,1,TH,1,100,30.590
1679956658.571475,175075.000,25497,1,TH,1,100,30.475
1679956658.704474,175208.000,25528,1,TH,1,100,30.475
1679956658.837475,175341.000,25546,1,TH,1,100,30.485
1679956658.971475,175475.000,25562,1,TH,1,100,30.485
1679956659.104475,175608.000,25594,1,TH,1,100,30.548
1679956659.237475,175741.000,25613,1,TH,1,100,30.548
1679956659.371475,175875.000,25629,1,TH,1,100,30.465
1679956659.504475,176008.000,25663,1,TH,1,100,30.465
1679956659.637475,176141.000,25680,1,TH,1,100,30.603
1679956659.771475,176275.000,25696,1,TH,1,100,30.602
1679956659.904475,176408.000,25714,1,TH,1,100,30.458
1679956660.037475,176541.000,25745,1,TH,1,100,30.458
1679956660.170475,176674.000,25764,1,TH,1,100,30.583
1679956660.304475,176808.000,25781,1,TH,1,100,30.575
1679956660.437475,176941.000,25813,1,TH,1,100,30.545
1679956660.570475,177074.000,25831,1,TH,1,100,30.553
1679956660.704475,177208.000,25848,1,TH,1,100,30.607
1679956660.837475,177341.000,25882,1,TH,1,100,30.607
1679956660.970475,177474.000,25898,1,TH,1,100,30.560
1679956661.104475,177608.000,25919,1,TH,1,100,30.553
